,statistic,p_value,p_value_adj,significant,Separates Healthy vs Benign Disease,Separates Healthy vs Lung Cancer,Separates Lung Cancer vs Benign Disease,RF Importance,LASSO Importance,LD1,LD2,lda magnitude,PC1,PC2,pca magnitude,RF_norm,LASSO_norm,LDA_norm,PCA_norm,Score
FT-030,251.530963764491,3.0716099379928476e-34,7.986185838781404e-33,True,True,True,True,0.05452293002203597,0.7847703631126951,-15.051008347179184,12.20263595566676,19.376201292652507,0.047003810235191054,0.42091588049165296,0.4235322143906993,1.0,0.8759571739708054,1.0,0.9386806241978156,0.9536594495421553
FT-016,191.08012530729076,2.250375626439385e-30,4.388232471556801e-29,True,True,True,True,0.05387799552451323,0.5932050192377123,7.695287393682005,1.228473179960447,7.792727021091096,0.28527507703298166,0.25480388143979127,0.38250083342779373,0.9854068674805123,0.6117837191965911,0.315529944060375,0.7920473041657592,0.6761919587258094
FT-027,221.16652953989566,2.069083274913742e-32,4.611099869807768e-31,True,True,True,True,0.04196171457115186,0.6634538404145238,5.973752757433059,1.756358413409795,6.226597536640251,0.05437714620946212,0.4252312963033294,0.42869398104673123,0.7157734895796553,0.7086586205159305,0.22298700653578818,0.9571271635109573,0.6511365700355829
FT-127,502.57768811338036,1.5246432691213916e-44,1.1892217499146856e-42,True,True,True,True,0.030279984558548297,0.8210380661773548,3.4070416388496225,-6.343660816724016,7.200692000529862,0.4112941649768771,-0.109688033293977,0.4256693021488949,0.45144736842222966,0.9259712538743663,0.28054646378998266,0.9463179073169821,0.6510707483508902
FT-024,183.36805931383412,8.268148692328627e-30,1.289831196003266e-28,True,True,True,True,0.020297955513226315,0.8747200011026918,7.644590647981089,2.521108839884393,8.049581104488801,0.058791970146896605,0.4310401095865798,0.4350311159286934,0.22558090720595456,1.0,0.3307075086415971,0.9797741011822276,0.6340156292574448
FT-218,136.80043001081913,6.533739242127065e-26,5.364543798799064e-25,True,True,True,True,0.027330043229415475,0.7046747183348677,-8.903192850908582,0.6403759640738302,8.926193159227127,0.0668822327916754,0.43526304385971404,0.44037160491251387,0.38469813279271414,0.7655032538341049,0.3825067087846136,0.9988593381865627,0.6328918583994989
FT-240,325.38462751111695,5.468242029426438e-38,1.7060915131810487e-36,True,True,True,True,0.049979107523120826,0.4042961779423249,4.725674559505582,-1.7313665451799705,5.032855070049872,0.4005968186852163,-0.12423397923776924,0.4194185173999433,0.8971855217446172,0.3512736486748349,0.15244850023542555,0.9239795580088477,0.5812218071659313
FT-123,418.44189478927143,9.443384838220673e-42,4.91056011587475e-40,True,True,True,True,0.025909491556984174,0.7543564944863558,5.35804824025498,-0.026701879274467377,5.35811477436386,0.41094796821906776,-0.12195170376250235,0.42866123061685557,0.35255487035878175,0.834015679828146,0.171668168081823,0.9570101237196451,0.578812210497099
FT-176,190.24491646456008,2.5854393548540582e-30,4.4814282150803673e-29,True,True,True,True,0.03715926927490498,0.3806057165740356,2.614355144074337,0.06274421063290103,2.6151079624588913,0.26586753285554326,0.2593788546080259,0.3714336215859636,0.6071070732305293,0.31860390320698906,0.009583289057501998,0.7524965511132906,0.4219477041520777
FT-244,382.687084026602,2.095694093963001e-40,8.173206966455705e-39,True,True,True,True,0.017097324536573737,0.4575647179628562,5.335805610920671,0.5880689177897768,5.368113874500331,0.3926568396668882,-0.1358113462818178,0.41548058380153957,0.15315923931925388,0.42473231277007883,0.17225901711979769,0.909906615201445,0.41501429610264384
FT-133,181.1605863687646,1.2100503169805329e-29,1.7160713586269375e-28,True,True,False,True,0.021723295831708248,0.14957014061155618,-0.2964982530192206,2.434941745361075,2.452927336336217,0.4095085257978901,-0.16282241322705784,0.4406907883655432,0.25783252381643373,0.0,0.0,1.0,0.31445813095410846
FT-140,99.32003638161206,6.278965523400192e-22,2.8809371225012645e-21,True,False,True,True,0.020536247099019248,0.24823709227684387,-9.795235882827171,-11.445704332973612,15.064886115668976,-0.08465234438933436,-0.1367933257196232,0.16086775118725752,0.23097280468253897,0.13606422208846833,0.745243432913026,0.0,0.2780701149210083
FT-104,71.22853384732396,3.758414804411602e-18,1.332528885200477e-17,True,False,True,True,0.010328546351395131,0.29590229258902206,-12.392408448763195,0.560927498051047,12.405096808128794,-0.08529387232730065,-0.16896812205860318,0.18927564800733582,0.0,0.2017957389916021,0.5880758946219222,0.10152093661244399,0.22284814255649207
