sample,FT-151,FT-217,FT-134,FT-207,FT-241,FT-021,FT-202,FT-027,FT-024,FT-218,FT-175,FT-102,FT-020,FT-089,FT-237,FT-201,FT-226,FT-205,FT-056,FT-192,FT-078,FT-030,FT-242,FT-200,FT-195,FT-189,FT-075,FT-005,FT-016,FT-168,FT-186,FT-231,FT-065,FT-227,FT-040,FT-105,FT-120,FT-072,FT-234,FT-068,FT-170,FT-179,FT-178,FT-155,FT-176,FT-026,FT-177,FT-057,FT-077,FT-095,FT-006,FT-034,FT-148,FT-115,FT-141,FT-228,FT-187,FT-002,FT-232,FT-039,FT-118,FT-045,FT-004,FT-035,FT-180,FT-233,FT-144,FT-191,FT-049,FT-044,FT-031,FT-098,FT-093,FT-196,FT-023,FT-029,FT-214,FT-248,FT-199,FT-247,FT-091,FT-014,FT-053,FT-220,FT-197,FT-083,FT-025,FT-043,FT-079,FT-071,FT-052,FT-038,FT-064,FT-182,FT-112,FT-229,FT-051,FT-067,FT-129,FT-060,FT-147,FT-250,FT-032,FT-100,FT-097,FT-018,FT-225,FT-193,FT-094,FT-085,FT-050,FT-033,FT-188,FT-074,FT-110,FT-088,FT-041,FT-070,FT-062,FT-194,FT-059,FT-058,FT-114,FT-104,FT-055,FT-076,FT-036,FT-080,FT-037,FT-054,FT-046,FT-221,FT-140
20241106-297-Dunn-1,5.1675631111112805,4.74221078561327,4.604216755886876,6.714333116640368,4.175878126021484,9.752445004757902,4.982694795960343,8.629757509854123,8.05694262686605,7.274811831027102,7.135590182581685,6.457495152401106,9.571642199312269,7.601420818222185,6.335183585245093,5.720192923189598,6.235452509008847,5.818751478367982,7.9817296191448195,4.720145228627402,6.659003031277547,8.730607823345137,3.3163917582273834,4.862692460586618,6.068784300652229,7.4443335219972395,6.553674939462925,10.297556319563578,7.3295095858743355,8.16932156394025,4.395138172640918,7.180488432583922,6.0885099131551215,6.389747608326408,6.8367751921157645,10.587144177120743,5.517065817032178,4.966661790544509,7.036214523878852,5.971989353496214,8.500488719746327,7.319008176765603,7.326238020170164,6.8755902069937695,7.165062795783044,7.730592825755206,5.099034288895911,7.617720174943398,9.577522255616712,7.8529866727780755,9.553366872897353,7.131161506161887,5.37345425940692,4.660828308954607,5.439403018420973,6.962105899177664,7.3456045019766245,7.256655695460628,7.0468434367856165,8.606845570986703,7.215283500263169,8.695797369796143,8.51293831145377,8.497912410156701,6.358740007679205,6.796427985382484,5.386133186688123,7.350653065003309,7.273655923354013,9.218216702723042,9.092353496270052,7.211014152184997,7.648280547554069,7.203307312495835,7.398880492009174,7.605847411971966,6.716286623821923,6.814663822785983,4.957567286873365,6.844304537403717,5.769515384427915,8.086379134619875,7.363766825889939,6.826959969817838,6.344220894746661,8.08179131766189,8.941251778859318,8.160294679285883,4.397564450282534,5.658932813804739,7.456126332234278,6.299060098328988,8.92041497269744,7.2696020534645545,6.599341690715511,6.895963739641973,4.883041732048301,8.98693193529937,7.398179792214518,5.899856886320626,6.89422631249949,6.936071302310091,8.563675980752453,8.696801643360766,8.661257565351754,7.871457585090039,4.547250396177535,7.428558767159457,8.508221326247096,8.942538273991026,8.717022460341054,7.714926414817959,4.662422423038627,8.008007243372045,8.065323949168635,9.724395232398242,8.577673079279144,8.571749965790708,7.994971725971172,7.314454988059396,7.6896581414145215,8.861757365440337,7.856442594892486,8.609159721750762,7.703379713980867,10.026900013919477,7.9738458715623795,10.004664926867687,8.087668696237978,7.7693285716300675,8.730913851097393,7.40423989843482,8.308095706409299
20241106-297-Dunn-10,4.857613791025803,4.581292331068378,4.097228408881352,7.0433342248745525,4.430167104240123,9.804629413360194,5.360618585229263,8.641470656687089,8.021525993762445,7.178447837077659,7.260845239036925,6.4964041504089405,9.597356624045915,7.6779886973244,6.410120854841076,5.5962242541977725,6.4362215508885345,5.881448087712456,7.989204271259705,4.936758705909024,6.612353013438407,8.7353247684832,4.552412754114966,4.3185766100208145,6.142339589783966,7.567413540099395,6.632677112014856,9.091358441732844,7.428888681212517,8.276383423193481,4.308217909223264,7.2725769277505234,6.19445760075717,6.453452855488056,6.791043083175155,10.70684763735915,5.432591330736439,4.843325949634065,7.152630888965534,6.025327256244455,8.667660314356816,7.332657589582068,7.270026840099477,6.7556395818814075,7.226782031009781,7.71188570324268,4.765688844776342,7.665099401213355,9.626848978084432,7.825363530088123,8.291657067543,7.250875375750159,5.231495718596504,4.700022353469912,5.529752157735106,6.991551628135605,7.385314905724131,5.9385604657507445,7.160967126512605,8.669074657632377,7.145075049457584,8.758671425027911,7.101611331705193,8.589195716913208,5.7206338926286735,6.903402115327735,5.267942094445153,7.315236499038209,7.369573907066976,9.31195196357559,9.207425852662304,7.268724566209172,7.562686551118701,7.410656442561544,7.475898201198134,7.551247738303281,6.644446815645581,6.949511160829139,5.185424202781542,6.699768001923736,5.918168843808773,8.05099903695173,7.343471520461153,6.874986860344201,6.648816852866512,8.065228301833171,8.924269671948975,8.199343707083646,4.827885959273089,5.597575536591445,7.4703924449223775,6.228592561726158,8.969163530243229,7.27714869596164,6.557585259613771,7.02178278411498,5.018801797638377,9.021107605989885,7.296908260882738,6.221270028934401,6.935446327468015,6.979304682252764,8.58125937558854,8.771246850803132,9.405556720667878,7.873652046973287,4.618053815567513,7.536055057723011,9.26302835115405,8.93631929593339,8.743026288366071,7.742447183720978,4.767717069672268,8.095081541365055,8.07983467554404,9.746430636515854,8.65387916353672,8.601763932710442,8.114700402201736,7.289960803011499,7.7098279372986696,8.913659705238722,7.90117818068439,8.67844150049064,7.723594947512599,10.13930282817079,7.9915503338961855,10.083889253413226,8.12026755032276,7.825143340399033,8.853570886453745,7.387476655779579,8.378759342030126
20241106-297-Dunn-11,5.195676618801864,4.689073002564567,4.513295122914709,6.9001510134159885,4.474647449502368,9.7948041624415,4.705975895859514,8.679591938053909,8.092361412011462,7.26741872147745,7.158412702106736,6.294020039200818,9.615164539697036,7.664151300127492,6.338562969814801,5.707534895533021,6.284030000191085,5.670151968529758,7.977503526458915,5.110092345380242,6.67368018482632,8.76376875941922,4.021277487199128,4.5999769151760574,6.054699285080695,7.4672829198907955,6.630470652542739,10.117723933470943,7.341195240154854,8.305928208041667,4.249413702346688,7.107612647495971,6.075190572837287,6.367329563175073,6.861875283584704,10.630519586212852,5.395440661372719,4.822983342728878,7.10361024261325,6.18517235240427,8.593707561425923,7.411219049369328,7.274561375611652,6.843307711611441,7.1052543243647435,7.77013097748902,4.507320203553238,7.626871473838418,9.594563695434184,7.959883747559003,9.351639807394433,7.092277439281174,4.574428794336991,4.983687446553881,5.810299793124719,6.729786450606991,7.3597151388205955,7.0509910041339605,7.056520401571517,8.610080703830938,7.1467782659720065,8.670324771146369,8.311265543275946,8.57395224976501,6.360409696723788,6.810507630656261,5.439690145468143,7.370772329639885,7.370608165939903,9.29326125527044,9.08407247758288,7.257742251920062,7.645293347978053,7.379528053033487,7.450473307144412,7.534654601259678,6.5939921840788305,6.813041826743771,5.1437829682564224,6.568783571187396,5.854594311249956,8.070230755478663,7.384432471056358,6.778404374058605,6.034355712680853,8.151190870791703,8.957578884287244,8.28985477489995,3.7687120522632758,5.758176548088888,7.514381120632287,6.383280277280284,8.946038101731128,7.23464562477314,6.462432489482019,6.925860365834984,4.587919975948235,9.005341070333213,7.351387023625415,5.946692886854572,6.89674229835629,7.041111419945312,8.577012176466374,8.739480052911388,7.710970381772355,7.822894147633549,3.586019449338174,7.538852920011311,7.567648592130306,8.972063065552158,8.792910704609342,7.667797697853733,4.797201180283627,8.027035484447113,8.059764347832306,9.807951643141765,8.58004994734464,8.605788753328293,8.092437814905047,7.3880711337135665,7.670166292446197,8.904900305952681,7.920645435744682,8.603522578966743,7.788908702468744,10.04726833833771,7.963492842878182,10.038181228736414,8.062904751582401,7.794879393778698,8.862818872250084,7.447363657834706,8.331791955640757
20241106-297-Dunn-12,5.019574859285618,4.8613239661693495,4.604891331339083,6.826217117421813,4.35236302652234,9.838838081614217,4.494408261091122,8.666275072518811,8.06851755396229,7.2849080188671635,7.310441303847297,6.279037039585442,9.651833680968071,7.528668766286074,6.328639159934453,5.52465071926694,6.303651214474298,5.610616696132677,7.905347867629344,4.623002324786773,6.64281407281058,8.762359482134435,4.027096195755834,4.583743403338367,6.003771565992643,7.427777771513172,6.651483627592617,10.250445726500775,7.360028266551026,8.292484233261737,4.339733010390446,7.115071865903955,5.97441766559916,6.400198767888804,6.83381382710116,10.578221030128283,5.34299824165117,4.757267125697818,7.143852335587435,5.830136613057762,8.573362520944466,7.351751478258512,7.2975626050509215,6.923613701957964,7.204804814953146,7.69962463616143,4.646148687823009,7.536623893699435,9.574494147391551,7.912555517873502,9.416188582426805,7.106329271840452,5.245582003278282,4.677808474875919,5.415528943280825,6.842430993884969,7.270005268055473,7.106698749605658,7.091496385670216,8.60993928821607,7.131400553657595,8.683502857673437,8.411345488557053,8.513795192398229,6.412883441004418,6.90405016693268,5.484330214087606,7.276660522067178,7.321114262402625,9.270932360009526,9.161476495787834,7.181131939836559,7.673721831400987,7.270843455588442,7.448731403735183,7.550105186636161,6.607219200263305,6.864540008568363,5.210321580513937,6.7762141699568454,5.657318411743308,8.17903504842142,7.32774941208385,6.840297519720802,6.192040473775814,8.156610110917027,8.98829666661152,8.252182786096347,4.71494415623039,5.471646425790306,7.499474555985454,8.033305268955836,8.979471367212101,7.259570878647728,6.5499122364841975,6.901857794851264,5.208289079439081,9.012664923972213,7.334362331833613,5.769362973446214,6.915978963035408,7.038231903453662,8.552435386087915,8.695720027018494,7.100195685288878,7.917008075728208,3.9562304932113914,7.5061462435647,7.041812601042281,8.957865666557073,8.782071761096697,7.755356100073108,4.585077598966646,7.979337868305212,8.000016645224216,9.734130530346976,8.572394291201404,8.58569406948146,8.06217985286134,7.3337681173956,7.7186962016205936,8.887826908952759,7.924208977392398,8.589961147676973,7.770332135308091,10.006708756851875,7.982010193981114,10.016901088882937,8.033305268955836,7.812371854231114,8.78998866683807,7.431282456654524,8.339076963440123
20241106-297-Dunn-14,4.917414618562,4.432547347301738,4.262941609048635,6.848089700869789,4.7797698751627715,9.753723680382288,5.079260020770269,8.621982750705081,7.953826264180028,7.192735923061219,7.22633007169011,6.330302410565291,9.557929301799511,7.590856409043566,6.364902658151066,5.277153450763498,6.39443330089841,5.630547557788403,7.87169276397496,5.011968503430595,6.615905671964276,8.670919701482447,4.097943567034094,4.2790790330261625,6.04138879032962,7.435042024567415,6.6317216367176215,10.444001002171573,7.413043189264914,8.283802030762166,4.420964905026295,7.144427976664309,5.9521848118630984,6.470915155833574,6.66848896895974,10.61308695569939,5.273372898668817,4.927916867077859,7.100660180788063,6.020617174687643,8.612109542348866,7.313887579371528,7.247549185048704,6.7897869898993095,7.227347965525219,7.691727001896978,4.927856814244993,7.501110945828842,9.562524747946451,7.885409545183776,9.710508062980155,7.067559118271842,5.149702512176232,4.6160153910057895,5.45804479416504,6.839719118730177,7.3369981216460625,7.454584278328851,7.012196520145585,8.644167389787025,6.999706961822827,8.639514213711026,8.64044889364818,8.566314969703647,6.368778834032156,6.86899761618068,5.358530565048283,7.3717338541863775,7.303014883138842,9.232171244401249,9.126822464971802,7.252179617714779,7.676246239069016,7.254597189957976,7.464863397059918,7.60373474907956,6.653860158067953,6.8963947872334455,4.977320431742666,6.771703047119956,5.9315202758666,8.056590590087328,7.34675506655759,6.866699996474369,6.059384679662804,8.167584474581185,8.924659361528725,8.129297020680166,4.5631856507922315,5.629975066667319,7.470588279442148,6.2514413274686405,8.927126500726692,7.293008950772976,6.5809241533563085,6.887615271902044,4.867755844228633,8.984870542415408,7.247709716596643,5.945934029094838,6.835854702483425,7.006006330348163,8.52497673061073,8.672533528131,7.321456233763106,7.96550824379347,4.282112428639592,7.500981686525054,7.2399753342220174,9.006134115485397,8.78039841644845,7.740040020726216,4.540137032962982,7.972241035531749,8.084769577148004,9.773388855729614,8.603206111506193,8.534466770788212,8.004683144897859,7.338396793533153,7.611942442064689,8.82756503303832,7.850388087966155,8.573162175869713,7.756601383843018,9.991860606387377,7.900250099611717,9.988105557903914,8.077175523622365,7.827382772271043,8.793495489619751,7.349792555132468,8.323652535531949
20241106-297-Dunn-15,5.047256315810569,4.620324055454449,4.414383769347097,6.977662128121124,4.778176993249625,9.734961445046537,5.208141547486226,8.625677438204836,8.058376507370538,7.245924379402772,7.273354041436631,6.342793867054081,9.549143381302294,7.512834871515699,6.421228477078064,5.665735485688478,6.412106366720252,5.727911339109739,7.89966816574885,5.107302979997449,6.643454934256271,8.7186660452577,4.37628903963242,4.444327191885536,6.127155502259249,7.455055265139059,6.669560521180563,10.34198966369811,7.339508017701685,8.359668666010135,4.211616555368745,7.130993386174432,5.988137677294224,6.480972778818767,6.787724224333968,10.594875688354835,5.399043276654148,4.98538329486031,7.10368211201596,6.080802668387768,8.65075812176606,7.2703451404556665,7.276703317964493,6.837839416127977,7.138333911117369,7.661849317322117,4.503346289698455,7.578858988975836,9.58956859668287,7.9454310393608445,9.543193252260782,7.1514129704856195,5.38534860988559,4.844504609744065,5.3697671230538315,6.858052124876671,7.343041281124517,7.230178272958345,7.070158338901424,8.661210689160594,7.12715773478674,8.664293804838751,8.48919137919964,8.572796645966388,6.414427825912483,6.951379764814018,5.301118985348345,7.267492692750226,7.360165242799104,9.264042379571672,9.155258154557044,7.29451429103343,7.627129106492897,7.306103301898081,7.433245524583847,7.6223822794103295,6.630384091045951,6.879233409663584,5.210690010626372,6.712914953375068,5.885527720879861,8.053624980034334,7.3714338907201995,6.866716474038296,5.879032806157816,8.195669731598656,8.909412075804081,8.228820636972381,4.364865028852166,5.530484006514142,7.512391056146658,6.199213170034015,8.99681208499294,7.298052936451532,6.60042161804289,6.96751832642199,4.9207275168804205,9.07244583361008,7.304128412344355,6.064398477838492,6.9535222294247605,7.03591725874519,8.557590570758073,8.716400504645655,6.891595162482964,7.855528180971875,4.296341512952701,7.470392023738328,6.828378870344659,8.952743527335397,8.739647669905011,7.792931333908371,4.455505185054815,8.034176876439941,8.092838452724344,9.766018450488732,8.627641086078073,8.666414163527696,8.065400192872088,7.349220666903656,7.697012963730234,8.868090878360718,7.961635947223141,8.581553206101036,7.808492587207824,10.020770684807971,7.987445758329842,10.009977156808043,8.127892787401862,7.812605531196363,8.789985503709344,7.420322610015276,8.327872774066625
20241106-297-Dunn-16,4.941004643101208,4.626591327086381,4.4002090133616765,6.994804245118743,4.75103036118052,9.622293976963261,5.442838476714236,8.550662335066635,7.979649705032068,7.198891865322665,7.060889724412655,6.475483562856339,9.444615465468994,7.515901563625456,6.545119661412283,5.567873888423628,6.468983668582397,5.783173767030275,8.056170244222423,4.939790919754941,6.662687650340007,8.67696521840965,4.2878690057323015,4.650225247007053,6.128016348888605,7.5627685502274495,6.748209786424583,9.849903799360778,7.416123963127589,8.5161377272987,4.3170869955350195,7.196661896295793,6.2243936934844415,6.461291211493776,6.849558678145442,10.611952168996742,5.591753844894516,4.961437101560909,7.042343091565243,6.046183650801614,8.855328705740881,7.3088753961065525,7.12037481836816,6.866697710512994,7.096924942612202,7.645314949344687,4.925778318375572,7.637459831624757,9.53229341346595,7.842829015089551,9.067077025842675,7.117811180151599,5.1610841930129014,4.797634263592464,8.323153767407911,6.9126157583398,7.370861955458878,6.772341198181718,7.055899003313586,8.55966960890183,7.134019145293673,8.640662869800648,8.035665491728537,8.51985373698178,6.378642506011713,6.922367496053783,5.4265152628866735,7.342438774150055,7.462328903065689,9.227576463657725,9.104887487182252,6.981973746457655,7.432334204757403,7.272405759570127,7.65949547386518,7.560936181440336,6.601545858313636,6.820361168944056,5.174081593359736,6.567303106593677,5.941098383376247,7.964772124588612,7.364719932969008,6.906670446011857,4.6859833785541065,7.972704403490578,8.810479023781246,8.208343262774413,4.668220593171511,5.83526174611626,7.464759559198217,6.352380016751928,8.962293155896807,7.238183304786412,6.61739369769352,7.02225424189576,5.0150303505137614,8.981709225131713,7.3617998824067925,6.071942022827729,6.785478475749467,6.925951075688716,8.459811184378921,8.766235456757485,9.456473682541201,8.070108690033436,4.62481768034668,7.520827971756771,9.34919920843861,8.804996177636852,8.716404793006221,7.637138981812225,4.505839096910645,8.093669801424427,8.10729035464551,9.586914749177394,8.522259423956797,8.561924327978064,7.997581313813418,7.250350119435615,7.679055871663271,8.82019976048357,7.898188582757538,8.605235861913101,7.770914661305642,10.067264991627848,7.876604173728895,9.968440228774531,8.009919481713462,7.758169728137478,8.840081788588128,7.420977682257009,8.323153767407911
20241106-297-Dunn-17,5.366584906476657,4.310434587820066,4.397193079783897,6.726536740037784,4.042653109845048,9.674865329490384,4.742556155264433,8.579434925245666,8.010765148888499,7.160220795592702,7.111662228811534,6.362364824784837,9.493648494341933,7.675689384256286,6.101068444333449,5.581217007603461,6.1513625293016885,5.608538579229436,7.89743606681897,4.9611239597926,6.5262466896332345,8.66980790874657,3.522453267597679,4.603534283018863,5.917782710279355,7.321175631261683,6.4748487355257724,10.518890203967727,7.27798820305426,8.241372640623633,3.8769597511727873,7.009161339453906,5.90360132826025,6.277294874124386,6.606381200959663,10.639550633469966,5.516994479633067,4.842952525783367,7.036790849023237,6.002318506359863,8.54382171180987,7.23828422337809,7.174653150246967,7.022748282215514,7.046348598772339,7.602305434121589,4.597685013028277,7.480516933362366,9.50354004350889,7.886043788512938,9.808083404990288,7.071568099349587,5.329900359979124,4.615216831302485,5.518705005833623,6.709065104745746,7.212082548052298,7.570177169983085,7.054428406005713,8.5723543656849,7.114748820044747,8.650922680729257,8.742618664743938,8.473646759371935,6.364167128166737,6.820573500850935,5.304424656883041,7.22493915527393,7.25761539270033,9.18164460851333,9.069495012668565,7.316286869962558,7.764822184371738,7.206784304086796,7.354592005564855,7.460425475611527,6.584723403895788,6.71551319583963,4.920283859799223,6.577167100347136,5.697385225861406,8.078590362713918,7.263193292809757,6.8397155999853805,4.544724222559057,8.103038429599529,8.861357854831386,8.101965052744374,4.613032019918919,5.53641352154284,7.37949690220084,6.064717602690314,8.895999297848721,7.167371382949696,6.56742461602599,6.855523000342503,4.882000123507958,8.952598278484201,7.360377424774632,5.872593434093938,6.90199025068868,6.922202962704205,8.504604000117856,8.68656355056991,8.724258010409695,7.778960382144785,3.9694965923233303,7.433057492667859,8.605302161491633,8.920077045033308,8.615196564444734,7.67260285198373,4.394061197345825,7.860122209516586,8.013576671135432,9.690677547921995,8.558003443292545,8.518691256809415,7.983619961302233,7.182915513599924,7.614790829484851,8.736591709462068,7.8265341942526145,8.528471334793466,7.654516059064252,9.974490342320959,7.91710457429937,9.951950118806183,8.057253750045733,7.7648038750656045,8.71797391237999,7.334566902452302,8.287458046203046
20241106-297-Dunn-18,5.006637658710335,4.604914577607388,4.536576949533939,6.889921304691757,4.686391460279067,9.75183427753084,5.177734910288056,8.613745609242828,7.99771550327346,7.280703750326416,7.196429578441975,6.4823623061482625,9.562741026247584,7.582012911930067,6.420480674624654,5.472472692534748,6.470478469666088,5.696401639660361,7.927364770210333,5.15049545466004,6.778314036719306,8.759985235476766,4.175902926276661,4.664576341863135,6.2637079542991945,7.47780560696672,6.677736506016603,10.291442841160713,7.432014917817155,8.2960595972057,4.150168820420548,6.972139081340225,6.003891494811642,6.451243308973535,6.928136181028499,10.62995750503472,5.125970369699976,5.118534595071073,7.1919462353895245,5.957672535791232,8.54145697500624,7.3379368363697095,7.365355668823028,6.677030389098415,7.238987722426113,7.7247093390450665,4.657781188145898,7.634747384753742,9.596422357688423,7.892466805981975,9.547065332781761,7.2231700956591745,5.332198385633867,4.914596231097135,5.594639632575247,6.539965407250935,7.405697583066859,7.283095587944378,7.044638921349254,8.7021785256236,7.162530076392576,8.747921716091042,8.492038341976562,8.609006624274908,0.0,6.924655645322541,5.490335416205126,7.41269467905865,7.37732373986149,9.31054311636217,9.19599180966017,7.223232718731396,7.660235654275062,7.262525356748988,7.342341487037102,7.127111293194361,6.355730714063028,6.920395178371796,4.982591523068016,6.717213048034948,5.964583031052348,8.068061254212173,7.441320848274792,6.965994075139853,5.264242480395244,8.094106322806333,8.936456726944085,8.303471154886571,4.621931032520858,5.664373059407917,7.537691239160119,6.286247162403563,8.966867196309904,7.364210364720835,6.677652320003206,7.033079610780966,4.963303734114986,9.01957380838255,7.357034066544328,6.170541955074957,6.8624957918267695,7.0637590003636594,8.6085216188971,8.79638371007274,6.676258344124227,7.779259702479526,4.264599320295884,7.535153324769286,6.576587662419824,8.915730326518837,8.795140704002183,7.813379621657209,4.732055724866519,8.031038429401221,8.095822935691254,9.71356394100131,8.643381469130635,8.589829451344015,8.080512853222473,7.353736991606054,7.686718180211827,8.885384593545595,7.8950677303613155,8.682738527307139,7.823058096017001,10.08077701179545,8.042358887646607,10.082011307583162,8.154865316061517,7.892062725173861,8.837973515734626,7.4732591717039565,8.352678401507584
20241106-297-Dunn-19,5.200346227132943,5.0740634233125,4.774989470809463,6.898162665376085,4.256021142882335,9.73220524334285,4.987805009278318,8.611883186544059,8.005492707665809,7.238937109660189,7.169138552469768,6.4080711077076105,9.491968231808109,7.576305900799691,6.3202273578667745,5.647519713390557,6.3597736758137495,5.801784616815572,8.060892669847146,4.985722756990001,6.692877522747237,8.721148156066201,4.5262224622136324,4.884443816473166,6.125414071604048,7.532712277953059,6.668464118527325,10.268321960922869,7.402733932525644,8.251120207277653,4.335294141966056,7.091188648006124,6.041020559111046,6.4819838851928,6.761565484745903,10.633433259770454,5.598312752267553,4.980052969214464,7.153483808870014,6.18371393184015,8.55061932033712,7.342369657567998,7.192788764564946,6.807235604137714,7.1862382098188196,7.745306312343692,4.856199346702819,7.525190122988504,9.583504938430917,7.888513729298711,9.487752918400579,7.164833579016351,5.386203589218466,4.979845101570144,5.41002478746161,6.807289503273144,7.363194653516288,7.217449741212652,7.118101757881973,8.64956251971599,7.229655135526802,8.680435912030127,8.418459860091119,8.515229335197894,6.340104244942828,6.934591185770566,5.4348999486413065,7.357431744737313,7.419843064339948,9.212391971476643,9.080112572229625,7.159738112032559,7.64575595469964,7.278932612948909,7.2837458874705945,7.534689756478425,6.758522747698939,6.723996295641698,5.064777257216731,6.762638257728849,5.887672430093023,8.038150204887659,7.3868619202544465,6.899829338804052,5.953955792768594,8.048072160658384,8.862205966825098,8.207876047186746,4.357874182867781,5.735351312329858,7.535985334316354,6.211363381154707,8.964900204755445,7.330222473765953,6.634831834765937,6.937823760978224,4.858608407740965,9.024109423568268,7.396949183587157,6.058078772323449,6.919985174741343,7.022409251952648,8.562025285365856,8.742563414275212,9.09398149164558,7.701398890071284,4.438817440140618,7.527245452714363,8.999220355729285,8.90708586128658,8.726003970860608,7.717870601635974,4.455346841213319,8.080977641399034,8.126221237323746,9.723339167638926,8.611121068960404,8.607798790798975,8.037267678080388,7.354114646980698,7.686422012228798,8.885376114118445,7.912249061947464,8.704344955615504,7.779084917598162,10.06290011677233,7.981196896318913,10.053017902198853,8.063066316094586,7.827875288491303,8.776606223246963,7.38570366016102,8.320889379832929
