sample,FT-151,FT-217,FT-134,FT-207,FT-241,FT-021,FT-202,FT-027,FT-024,FT-218,FT-175,FT-102,FT-020,FT-089,FT-237,FT-201,FT-226,FT-205,FT-056,FT-192,FT-078,FT-030,FT-242,FT-200,FT-195,FT-189,FT-075,FT-005,FT-016,FT-168,FT-186,FT-231,FT-065,FT-227,FT-040,FT-105,FT-120,FT-072,FT-234,FT-068,FT-170,FT-179,FT-178,FT-155,FT-176,FT-026,FT-177,FT-057,FT-077,FT-095,FT-006,FT-034,FT-148,FT-115,FT-141,FT-228,FT-187,FT-002,FT-232,FT-039,FT-118,FT-045,FT-004,FT-035,FT-180,FT-233,FT-144,FT-191,FT-049,FT-044,FT-031,FT-098,FT-093,FT-196,FT-023,FT-029,FT-214,FT-248,FT-199,FT-247,FT-091,FT-014,FT-053,FT-220,FT-197,FT-083,FT-025,FT-043,FT-079,FT-071,FT-052,FT-038,FT-064,FT-182,FT-112,FT-229,FT-051,FT-067,FT-129,FT-060,FT-147,FT-250,FT-032,FT-100,FT-097,FT-018,FT-225,FT-193,FT-094,FT-085,FT-050,FT-033,FT-188,FT-074,FT-110,FT-088,FT-041,FT-070,FT-062,FT-194,FT-059,FT-058,FT-114,FT-104,FT-055,FT-076,FT-036,FT-080,FT-037,FT-054,FT-046,FT-221,FT-140
20241106-297-Dunn-1,183.99353394325792,119.8817022671874,104.29349850229288,867.982215705936,67.58928450011886,18132.099352497728,152.75997000725064,5899.548057852611,3326.5064665885784,1521.072658250372,1323.2496554819409,671.1397866687818,15132.87427583338,2109.008462654212,593.7518269313221,320.5251350205167,537.2932775866009,353.8340377767865,3085.4110022120008,117.2424038226507,821.2043848416912,6525.667245145541,28.00787912828565,135.36638004482083,454.6463551567061,1802.2674506912435,739.0024929868523,31275.01591781053,1606.6486686026374,3722.27587452389,84.41765000749207,1384.063597992013,463.7245757127872,627.1086170839931,981.1774168550592,41779.92245577,261.41059870964926,150.313526349727,1197.9738234396782,412.60436273631205,5184.027645124487,1589.8538589908503,1601.3975564665066,1020.0523475938336,1362.8612200367268,2399.9562482932674,171.73716460225478,2143.6829495957027,15222.124770867647,2712.565780149592,14858.808734240753,1317.3977087174642,226.29911193444715,110.42945582559663,241.79825713803,1112.3282177493547,1632.7338724527451,1493.686081014639,1210.786160888104,5765.890833169421,1433.1071645590794,6302.378048082247,5248.983297318353,5170.686461199587,607.9296696950133,942.3359447315542,229.2000632673697,1641.0030120187494,1519.3142362888896,10627.17547079905,9370.232683028313,1426.9972811679231,2210.2387296347697,1416.0338162385185,1722.1359106855966,2118.3695577054978,869.6815444262897,959.6972773131412,148.94315030753916,988.600891877939,336.7838985361452,3425.9141701242625,1662.678373520742,971.5837513923568,599.1516387973363,3410.227875652768,8056.005634965599,3688.817042547376,84.62528092025198,301.41640921840747,1823.6595727731435,572.6488010926562,7889.859226576449,1513.1633352097983,773.5820496144025,1041.069268469592,138.1708832775812,8432.589116125853,1720.9288944567716,383.81686696516255,1039.2602263694523,1083.7158201552386,5522.231346409948,6308.711598517654,6088.375794007394,2763.1545945945804,98.45994308887832,1774.0436860216687,5224.277261577486,8066.377673943772,6437.5989356967975,2362.634142554991,110.60731567215775,3167.591001222293,3354.513029471258,17630.535772316343,5600.084913325795,5567.006788457701,3126.5541174559094,1582.626619067178,2303.656086917543,7440.310719059918,2721.9600640398558,5779.251867844734,2335.498303305328,23858.791832414867,3061.173753103705,23334.120742421863,3430.3363080648624,2494.7859831052865,6527.664908780798,1731.395980437146,4276.547925533122
20241106-297-Dunn-10,111.34741523409842,84.25421502315038,51.58912132858133,997.549088175187,72.3144382609759,15794.466591199442,184.70320535237383,4935.13219976801,2654.571021508272,1141.9874727009033,1240.1445243986295,576.9380421487434,12837.546023459952,1882.5196741995064,529.1729946923741,234.0058749000885,543.1896602274536,311.5295417472036,2570.114772663769,120.5899226637598,647.9730906554641,5420.832482518361,81.83097037539713,64.58673289574362,404.6522730134073,1685.3644395121528,661.2952001686938,7739.454809148125,1467.235626675306,3425.3867382291305,63.91216705875638,1254.7894790291698,426.3478368251931,552.6457862302856,774.9196765872887,38935.665933873126,198.55193829962408,109.7554444331945,1112.8599431180949,359.871958086811,5066.112128862929,1332.5427894217437,1251.5915119089111,747.934445333294,1198.583397310786,1947.4553522309404,101.4916038084433,1858.3998610242077,13221.819905807128,2181.580084226321,3478.119881561963,1227.8332339131207,162.22375432944773,94.98570366727978,218.9006604936801,947.164052505148,1404.63834584215,329.8908658297142,1122.1830817119228,5073.283653858045,1104.476476524127,5548.90031176384,1057.463020288409,4683.731121491184,265.122399014398,867.1725473589051,168.27764847511023,1309.5144246069765,1382.6874299453025,9649.89532413465,8692.069014364246,1249.9615231746611,1677.412428581861,1440.7112750423269,1537.89855610276,1658.324230379268,669.1347539981007,908.1343428011012,154.88015769299935,707.2447389753333,323.21438147736217,2733.9997570414343,1347.0404902501646,842.8539902667442,672.0691146772105,2773.1931546124383,6548.408159487235,3171.340223630971,108.06047915736016,234.3234755449692,1529.449741285318,441.1827171202049,6849.130391900677,1260.543213841271,613.3928947213415,976.2618877174964,130.97521661161488,7214.350829562009,1285.7161100197611,437.95758068772886,895.4388119846969,935.6243158402478,4646.699655035908,5619.131728867069,10596.882967579962,2289.553406164201,87.44180617938306,1633.3071143172438,9189.108514749749,6627.80189244151,5462.74904954356,2007.9183284690807,101.69943056452932,2857.2565198804723,2814.0095485818283,14901.43591269696,4996.762217076159,4742.979767302174,2913.8834034365555,1276.808572697999,1943.450273075772,6479.287847326723,2353.475688102579,5121.0357650492215,1970.4028780467277,22072.85951675973,2576.153549178533,20882.94824245369,2930.155530208158,2181.099583720147,6101.370708151855,1407.6799940026667,3794.7368511143263
20241106-297-Dunn-11,182.16465762785333,109.3578467478062,91.566232137037,1006.1969584513868,88.05644615601304,18206.58577728736,111.23932190254963,5968.26859210866,3317.0985254374555,1453.1818487556757,1302.9997082487655,548.376039552875,15212.733267995229,2161.3149273140107,573.4007209554117,304.59979384627013,542.9149264187553,293.38593145043353,2957.0594242884595,167.13949706686392,802.0780235293903,6492.498391746941,55.58842490892282,99.9494169281956,431.44496647782313,1774.903830915149,768.1157841305991,25146.495398925068,1564.524147768391,4107.095524683577,70.09339119647859,1238.4101608264784,440.398042804379,590.1646663262337,968.3736641457656,41994.15252322196,222.66833101309172,125.1731916280392,1233.459394006228,491.7157102409717,5476.998546634334,1678.0785142354416,1463.605856399704,950.5405434190436,1235.4906399756303,2403.061848569114,91.01471660831632,2082.1877348995254,14902.523474029917,2905.3953005562507,11688.295363579144,1219.5483142632024,97.40263956602632,147.172499933957,337.6767260553352,848.4245773124248,1593.7879168939546,1170.1817080631645,1176.6756568538317,5567.42913715467,1287.9161480695805,5913.205777879709,4129.080505616321,5369.840637695564,586.0879042697273,919.8357602731464,232.7884524426173,1611.5198077514426,1611.2551098149336,11025.42724254296,8944.098923225782,1439.1782202944717,2120.9198957895896,1625.7007070369273,1745.300829329448,1898.6729159503,740.5646415375686,922.1723358338332,172.90123676634866,722.1041097316383,353.0161261846683,3244.4730853123315,1633.698396353857,890.7429409467821,422.7360732248804,3518.1574525564647,7881.238664838459,4041.591930512189,42.95486733411399,320.4752130619466,1860.5474060398876,599.6700095497667,7790.79419423046,1406.2958148591938,649.147860504326,1032.4274629431882,98.73940546842604,8266.847791130076,1580.5613678784623,387.1705267766544,1002.76950514521,1158.6677428179555,5386.300231697801,6336.67933512799,2264.960589260025,2533.314616870067,35.61297959700453,1906.6651762197876,1962.3966681413635,7996.237475585844,6684.516298728957,2169.2140347716795,121.9613714925693,3107.267990578749,3210.681631087579,18447.55042380157,5402.6905431185405,5543.580865379527,3317.352048589246,1639.657401411011,2174.360519853651,7476.759966823254,2793.5611116076543,5531.030071125843,2448.631448302417,23435.688208141302,2915.9037636231456,23223.68104335667,3220.78350860332,2463.301281409599,7168.613572548735,1739.8788344472202,4214.732604854542
20241106-297-Dunn-12,152.60791472471652,130.12298088575145,100.4604946990302,934.5432974995142,77.8146286619006,19028.84234370468,89.84630503892762,5890.105229244254,3239.358650623324,1479.0397765211958,1517.3170303662066,540.2794242202351,15783.11151099617,1887.5926251053488,567.805817503844,253.55528146529903,553.7682681501286,276.4078682250247,2751.510789330221,102.31506073722336,777.774201511588,6484.236387759004,55.92635660430987,98.33703001169512,410.028010316432,1706.3459159351048,784.5553096112558,28719.648045517955,1594.5044350257804,4052.7874982491057,76.82526965771993,1247.8597432622605,398.1376614329361,610.002187820701,941.6775265888994,39859.73515920739,211.26888207659775,117.16314454549556,1284.3251751423695,344.50926986547483,5367.404898291259,1581.3531583719864,1497.888266120417,1030.24852122522,1365.1067584146729,2239.701597582916,104.7346712897453,1902.676657854971,14608.38635722118,2771.4217020335213,12469.408051317656,1236.9889268188526,191.5643330305705,108.13624703557332,227.23811337662983,949.835966481298,1457.1464291709306,1237.4464262699478,1218.761273473438,5567.399628704148,1268.4196307915222,5992.475457770581,4564.4327179095,5056.960427594087,617.8021067291501,1010.269428513025,243.49505713878017,1466.883228625274,1533.608912245596,10783.41537187946,9665.304212252951,1333.146515686232,2182.4060137290394,1458.3691542989447,1742.4987735349805,1928.5146567620272,750.5408568098986,971.0924595109734,184.8922249268561,888.9129560120587,289.6712957249652,3618.0153944324265,1543.8252277722136,947.809512890384,495.1789015036256,3537.762064215149,8128.227673957778,3892.661712476522,112.26585777246072,240.41332816534407,1833.253272454209,3127.243193610223,8056.80032061857,1442.010508970831,708.6823181938463,1008.054745273452,184.51475195150556,8328.756498585517,1554.074985538589,324.13585367993784,1022.4050726277642,1155.4905198769584,5256.226629094488,6066.1480651322345,1229.4187622102922,2783.793660008095,52.03082458135146,1845.531851437068,1159.6390394049392,7884.572821621408,6613.343792983887,2368.125400587023,98.46967357350296,2962.89386796531,3024.8219710109934,17137.043494728536,5362.209549986608,5434.015692319619,3218.8870706273583,1553.15120308361,2282.8456764366824,7351.173389881391,2803.9191675349007,5457.256944297496,2403.8727398631463,22507.1888979304,2970.824990387813,22737.773085012872,3127.243193610223,2507.128766355535,6665.916881890726,1712.3401763646712,4246.134532591379
20241106-297-Dunn-14,130.61578701780277,80.06048360369921,67.42063434807613,906.1619670720024,113.69584864575832,16578.401401684754,153.73132877825574,5345.407380941966,2739.8687401042166,1279.435210074529,1323.1797608567056,539.5361197878801,13630.279987170808,1905.579878104154,558.5648200779439,187.5834521477117,575.3344230987104,267.5067783494593,2523.7513614595478,143.6642332079785,718.2058874504291,5613.549969618025,57.01918233312659,68.53312056314475,403.91243529209214,1630.5000929366486,729.6706598164844,33062.74125014338,1595.00170058387,3811.3541688178257,79.12744882490381,1219.052042739083,369.35996306597787,621.1400340731235,757.0340636993512,39153.80039632321,186.87198856523213,132.0049409003818,1166.8063571475466,395.5892626511175,5292.881280499929,1444.3454778130567,1351.5771118195944,854.7863494451444,1324.528283714312,2107.9279183408894,131.9969560448389,1741.9295750759372,13693.065783637569,2558.6209168545224,15877.175032840065,1128.7847042093374,165.02135604447628,96.37669419497556,224.9693593089172,898.6004950046076,1478.1362962087976,1662.696123542823,1067.938776499662,5465.340089080403,1054.6716892062395,5439.963505448655,5445.051407605492,5055.919149052574,560.7378567321915,925.3277166529034,203.56839373690428,1530.416631474444,1428.7161990675309,9840.519714030008,8856.4754053093,1357.854479503358,2075.532082912446,1361.14349278627,1679.8852653999213,1930.2917667568129,746.0261819342765,951.0562948351668,138.73899969406713,839.4501167763761,361.7859393732688,3036.509488464916,1492.638418706058,923.2018961855856,411.26448184708215,3393.0725198353343,7235.224671149295,3265.579805245729,91.36774460748153,267.3531258310102,1689.5355203584722,498.5491595396007,7253.099393788512,1414.4822574202142,693.4832107061447,942.7346113776678,124.24133451954424,7684.3083315055555,1351.794254589409,367.0523749477599,895.1309158871647,1061.342509406314,4851.138349631384,5622.618135355269,1455.326018928195,2772.0748285793725,68.7442495326946,1741.7043045679832,1341.3718708314275,7849.474445556671,6263.128463907736,2212.316151300953,89.26398842051637,2790.8081069283257,3123.319751866049,16907.664404133873,5245.9571080195565,4897.404170421431,2882.8642205180136,1480.2065181106218,1946.2081411119932,6565.663142912061,2470.532065074224,5090.663478019445,2249.2762795613653,21036.30935218177,2596.889823274332,20957.461506319814,3099.6836427362587,2414.3235693259303,6345.709330183523,1497.1821128517631,3966.344641822415
20241106-297-Dunn-15,155.78546485570035,101.30105518637257,82.25952089456342,1079.658878054217,118.79523583770924,17027.3042935585,183.15373697906625,5614.844581672864,3183.483197111668,1412.169219211593,1451.468706341676,571.7513201113778,14139.722592749118,1844.493320236546,618.4842335633787,290.01657630814555,612.8588564373051,308.6856272815782,2716.1438047494507,165.48878197748806,772.6473771495527,6162.105073704446,79.14713767639634,84.79053093845258,460.6513838270852,1740.883100024588,793.1100297136761,31245.4366482425,1550.8053273347427,4303.163465582608,66.9773446373608,1258.7372889948915,400.7338131551711,656.6232987889847,892.7148924128961,40236.17912830858,221.89034679527444,146.37822610819094,1224.79762556073,439.7405588970017,5757.47515520978,1447.104917052917,1456.3416072702073,938.6452636947394,1268.0185013236464,2141.046429335155,90.00667728052183,1970.453342481527,14723.076319732734,2843.3775525735014,14055.83324648126,1284.7251860650017,218.8586388081118,127.01093105056738,215.45934612520887,957.8314445206644,1556.2979893424915,1390.0914605360504,1184.3851794582629,5817.981759136872,1253.9146013639722,5835.950061715943,4898.365625748093,5325.589290814132,614.2855779963838,1051.6263999350565,201.0978702798472,1442.9801371953567,1583.1948655889396,10631.9490451888,9535.945655253308,1482.5309530778093,2067.950160209501,1499.8237080756112,1703.3041962246034,2058.1524474239586,762.6008542254488,978.3575062935092,183.6236641565464,828.2957708177615,361.5555432078946,3168.3878928348327,1601.1476483647446,966.1752563159964,359.20835649722653,3652.12713022517,7457.295989455958,3775.261590057368,78.2366585026542,253.20090459996877,1843.6744402490733,495.14531283813454,8138.486252493326,1487.7899697474213,740.0606203535449,1068.7522215780978,137.15040474947463,8777.985740008304,1496.862656641671,432.5694196402327,1053.8840488466044,1144.4830906716704,5245.205367240342,6148.158096104935,990.5393160349834,2598.817224107353,72.98842356744001,1767.803970504297,929.7975518864478,7787.579264054095,6292.783319558521,2441.065275642368,85.75496315209656,3107.344670469174,3295.1398508546727,17564.450575211147,5625.882972272764,5848.339636353723,3205.9287927888745,1565.950976025214,2217.708828963704,7155.390455122941,2889.846045473349,5372.436769721848,2479.364208656149,22660.92651220975,2965.4296379570487,22417.639614631385,3412.7331462707757,2489.58684754991,6617.708533954196,1681.4212196412327,4168.461339618184
20241106-297-Dunn-16,164.7731875812437,120.00019720543624,95.44943451884912,1292.8773744476052,136.0589644626117,17907.342137071115,272.9367948990501,6131.576925809845,3463.5371058487035,1585.860618622531,1381.2852502259286,768.6840022357441,14992.040285996192,2177.854289292248,824.2054731037675,309.4468448534419,763.6961552442056,384.07138471687495,3739.067016996115,164.57188101182368,927.1797662563092,6957.204914882959,85.18096571350607,122.8984196241644,542.7079924454515,2282.410325423537,1010.0695451423868,22484.67824674651,1970.929720824445,5923.458952484622,87.74166721320415,1582.3254964880325,597.7362177024029,757.8349033171027,1117.93279084936,48178.391598210816,316.9540268170577,168.19902543141114,1355.88136662531,499.97210727276496,8315.898300755514,1770.3701817486212,1466.0168429525015,1137.2787187981885,1432.011384511753,2478.911667270156,162.26537717278737,2459.506521352375,16365.967108405695,3020.491135563032,10277.372978698351,1462.260282498932,205.6283776743456,142.60650934768273,4883.655287607686,1190.7735956233155,1883.6577467920797,1034.7693959809942,1374.40290909614,6187.06592964353,1486.1730368160418,6709.1290866978,3663.154989306488,5945.515947789485,697.6251902575352,1202.4541349373608,268.4985487260026,1830.838684894166,2064.189149732412,12066.8404549156,10673.450798994036,1276.3799551177,2003.15871022067,1706.926088378655,2514.331296537628,2278.229765797218,872.1182408518293,1085.729716877902,208.33397405355936,842.7201034891605,449.9804442387781,3412.371957001028,1872.1164726666968,1183.7080467323476,127.41573716346042,3439.5569290424564,7951.120925162351,4353.821298093355,125.15157732707874,404.6704986394827,2069.215473101614,679.5115597526122,9254.852979471469,1649.459230512364,886.0684776342157,1328.8914465754267,177.5245906056706,9436.32491147574,1866.6543129740155,513.0488233289152,1048.468821483403,1206.7752136995994,5598.968669486999,7606.952257981536,15170.891552825802,3791.565356188056,119.78544588479936,2188.615617563517,13627.573920400931,7907.6389601999745,7237.124572483995,2458.717135204306,106.21567324762292,3881.987841795832,3935.2406633926566,17284.82917968268,5959.839073213847,6201.034441341632,3526.225540856898,1669.664997934574,2564.020202157608,8028.8001466648675,3192.486763459225,6475.564372180461,2810.8187465483607,27944.08666592409,3124.29184145352,25314.4767797613,3570.016936189318,2775.207346184029,8190.050238178054,1980.5250852635463,4883.655287607686
20241106-297-Dunn-17,188.8808901682352,65.11328498011774,71.09503491534859,738.4475186475634,49.60834730687348,14101.199939915012,100.78749588041237,4714.790055541965,2669.498520786733,1139.854955605335,1085.7855883398486,512.781969232652,11763.84181965974,1909.19696737478,394.66533349742735,234.312244608058,415.0680033430479,240.8268254258425,2383.384923738081,125.62571243726856,604.2535016990199,5160.810359873135,29.127838162454367,87.59116178094408,328.4224091638196,1339.0647733583096,573.9363515746187,32796.460374853195,1282.427546825527,3362.102409273967,41.89813015191159,979.9191376361136,323.785315569031,470.8913194134698,654.7419983460762,37002.44883227285,219.68202746709628,111.52516190882828,1007.3961489408532,357.4713154073541,4549.80493216412,1232.4731395940903,1156.4379145864282,993.3362261257752,1017.0792601868558,1774.047079505379,87.07514430664142,1570.5254112027897,11880.790654551083,2356.376777544352,16110.734839706509,1043.0783047378427,182.04551261062232,88.6308644573396,220.05963810192884,725.6423386206721,1200.5767522155156,1717.927886895669,1025.3375427951423,4681.518358905732,1089.144881740121,5064.245240106355,5550.657717629999,4241.407821800082,513.7085899266383,811.3459220815414,177.44405953169843,1216.1232129998757,1256.5473599769691,8610.643926013934,7697.051189487278,1332.5300591313382,2087.2660527706275,1194.2279418849853,1384.597611607604,1539.2685105462988,640.695195852056,730.3421972387215,120.5630361263522,635.8654822757028,263.2851198914452,2856.901421574644,1263.58079656131,827.0435134137356,82.53785060824625,2927.6298690697045,6250.575215962259,2924.488154100846,88.43550000183862,224.00711012192207,1419.5362084756175,380.5449011674671,6470.929521176405,1148.0411582485344,629.6920598414099,840.2349164290254,116.0013804833268,6847.792114949414,1392.636447992746,313.87241816619536,880.2418097921357,898.2330099027722,4374.791482702529,5248.026540048274,5449.657788077433,2116.998448601571,46.04622518384663,1497.689148948327,4838.362921863672,6628.647390455673,4886.482065417603,1903.31052298965,70.86995073217759,2296.0579554863807,2677.0169310364654,14325.95748140456,4614.801404089874,4436.869002101822,2597.985435279369,1166.0397594654846,1796.3467439053632,5517.2994359698205,2220.1894284854293,4480.483523338089,1869.1793033742497,19027.80213699128,2430.744194966618,18603.689006703265,2796.571816971732,2087.227820501372,5415.513430807305,1357.1291027421514,3520.713869619566
20241106-297-Dunn-18,155.48424357014045,103.69814964692642,96.7791706687294,1028.159309630143,112.58983199509797,18004.89060470173,184.6940707254447,5768.611057130645,3115.0541948605096,1520.2611747513847,1397.3077851555036,683.655102823652,14902.635212079193,2055.19468519108,642.5689247303002,248.3615691549819,675.5663641788717,310.9588455274704,2903.367594026932,179.7028529234199,919.470359881506,6677.179511000002,67.15779609179927,110.1376596623402,549.1790787830987,1851.705827721132,831.3905844975797,30885.173653021324,1768.7800687722586,4198.290427311706,65.424979819143,1116.354347971301,423.2833990625156,662.6759554018374,1068.251509446775,43328.06846017837,175.3238468418159,174.01725136619683,1391.0525104363062,404.1175799624792,5366.248620875085,1609.8702199519953,1654.6508196621207,830.8029932013039,1458.1037052927757,2370.580352053521,109.3846990109735,2166.5396001791228,15413.160419074513,2803.7576139379344,14670.83123754173,1435.2049717891543,215.71882993977653,141.71997481868885,280.770491110827,724.2542006709978,1722.8104700807753,1523.904253699856,1200.3747532676462,6302.0792697402685,1350.698705337984,6597.100575299259,5107.451538740103,5741.333416100262,0.0,1064.5362445821934,252.8567268400676,1734.9147694461728,1674.5853887075425,11580.46909185506,10326.95732762411,1435.2949171619082,2222.497759080609,1492.8560678734736,1616.9814003959832,1303.6594456207624,602.2153169498538,1060.0060165858958,151.7651487161065,864.909625490107,406.9271695397561,3342.1527926952454,1785.3268352737668,1109.5089593137927,201.4776292831586,3430.370511019767,7966.08014320509,4229.52968704748,105.4958046064719,301.1240558902253,1966.048723744303,561.7215732211926,8212.085857359021,1652.755626818398,831.3205077845562,1186.5670949504788,148.84596898878488,8656.583386554543,1640.929923965531,500.2321431830856,1000.3163280175834,1223.5670588242451,5738.549005646265,6924.734782065735,830.1610148838106,2503.547250696217,73.48377925671575,1961.0627310425327,751.3087688657806,7802.649772928723,6916.1313405369465,2590.4784380504725,117.89931168804851,3220.6412942516868,3436.2659864567427,17328.81658915289,5942.158772500117,5632.259982692831,3384.041232796042,1635.5251155302506,2282.1695019181207,7569.397851819952,2811.0621957418816,6180.729829609075,2615.682227962064,25018.172662549,3257.319505671192,25049.072846947805,3645.324086176256,2802.624474884643,7218.85044387116,1843.3015229191683,4442.9116687290125
20241106-297-Dunn-19,218.91278555876556,192.7981763405278,142.6469355975144,1201.1198597943146,84.40259618972559,20455.416681780905,176.76446210267085,6671.222060096538,3637.369837876544,1689.3107384437617,1575.3383768813944,735.3000504469251,16086.728174560896,2367.6434609613366,673.3621534445703,343.03906402761424,700.5736646998733,400.46043990309215,3844.635487003831,176.3942517728485,977.9848155072306,7441.607329927776,110.96325463383108,159.2871965969023,553.9543000863549,2266.594923752709,954.3686888709012,34966.45125663236,1990.181785914985,4650.436232773551,91.46594215631112,1457.113924876437,509.02426909854313,791.8001642359022,1047.6077380940412,50375.804192496325,326.50944208473675,175.3901004682004,1550.8500343333087,587.2826083883556,6274.712692374579,1873.5288817430555,1613.0685781515635,1096.6181867153225,1602.528690995921,2803.7989659368327,154.81734896788353,2249.6001131129965,17628.870058912184,3235.6843589547366,16019.055188167767,1568.565949103567,263.8737705987341,175.3533940210795,270.2642898191083,1096.677360511567,1912.97974938564,1653.373295421032,1496.894977252432,6927.431588973224,1673.6919310856003,7144.67870195891,5497.760914390216,6056.491932872714,686.9047726150695,1245.726647353693,277.1020466852264,1901.9801511505464,2024.545970007767,12162.944492405586,10655.758800928315,1560.587531738072,2538.008182162349,1758.294446641588,1766.7838579906552,2271.0839040146243,1044.421299776138,1008.935352416382,191.00488704114085,1048.7334893655902,436.4842329158424,3758.158469105937,1958.823843916512,1203.1254284110196,466.47944926050224,3795.644455326983,8569.129361863868,4453.566931337801,93.5824629343291,374.6429497628759,2274.029750594938,603.7812515210843,9496.033639015615,1850.893790943156,922.7646994513242,1249.7639985311546,155.19369095883889,10075.33912989834,1978.6953169038543,517.8026801056662,1227.6461827982637,1360.1826620722416,6346.7054850113645,7602.716205770981,10804.589169464693,2683.302776791624,101.57468631867766,2254.2310355143945,9827.638423932742,8962.5272623228,7477.836180586965,2727.887547250503,103.28784016238596,3922.660202131708,4104.267687445173,20274.848295515825,6666.138816568835,6644.024771013959,3754.8421857612816,1895.6775293428168,2643.396678427433,8770.023868242313,3313.432252470927,7317.588983079545,2900.166811999932,28473.0864258618,3550.0327520535247,28193.08308524731,3853.004095043448,3045.2364785134723,7866.031920352123,1956.5549246426972,4986.567475662165
