feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,qc_cv_pct,d_ratio_pct,drift_r2,det_Dunn,det_French,det_LMU
FT-151,1088.6951060782058,1088.7596143680532,1088.630881136988,0.0330279363335156,1438.8803038529063,1444.1661421831948,1441.2777670267333,1436.5525669265598,1430.835098715389,1.1930280235989963,2.8116779608412332,80.06374879612501,0.49170680889842866,1.0,1.0,1.0
FT-217,1089.0287993120237,1089.0950065180127,1088.970820326633,0.030458456101534,1473.4388815633502,1483.5051296283675,1476.2821695524506,1470.872925663907,1466.9955052957894,1.2981758393010991,3.54587734677895,32.72122564366979,0.4894035858975032,1.0,0.9615384615384616,1.0
FT-134,1088.3568018363508,1088.4270703314248,1088.290582748391,0.0345227235842915,1473.517094540187,1482.6548940485163,1476.0500895172927,1470.3533129077691,1467.699538144199,1.4751542512680245,7.076577094268344,65.15604777967643,0.4669806651615811,1.0,0.9230769230769231,0.9615384615384616
FT-207,1034.6551417461487,1034.7125304192216,1034.5975891814644,0.0303605748289172,1455.50905041845,1469.479553565551,1457.2048275403458,1453.303311263696,1442.954649764501,1.045363518081707,1.8147864297325298,80.21804277415934,0.4556376615177048,1.0,1.0,1.0
FT-241,1083.3479141235127,1083.4274300384948,1083.284999164605,0.0411502899069144,1473.3785589320328,1482.4898161206963,1474.8711895611846,1471.0252971599662,1467.2716426849436,1.1772538924513325,5.7000312380012215,59.77005624222529,0.4376556290474549,1.0,1.0,1.0
FT-021,842.0756790432796,842.1224037031269,842.033147766642,0.0247411020790879,963.2789284715732,991.4065647125228,965.900100453346,960.78786884497,946.0247929199916,1.2723722014800722,0.39954140791501375,29.029081740967218,0.39216507533155015,1.0,1.0,1.0
FT-202,1033.9870057402484,1034.0472286109705,1033.928817254043,0.0317203756271548,1386.1519996372765,1394.7988818241977,1389.2728290402838,1383.1683020518017,1377.1626443129362,1.4789205614544831,3.493531709621211,75.07540272930694,0.3789683175734859,1.0,1.0,1.0
FT-027,944.1420067072388,944.1949828507568,944.0933831173212,0.0274536438076089,1013.8565207197244,1035.1988995593508,1016.3542223052108,1011.098491583856,998.5545121068548,1.2940592342849382,0.7319737814355484,33.85071378699703,0.35923955497127574,1.0,1.0,1.0
FT-024,944.6434806058312,944.698424554808,944.5961664284048,0.0273795383944055,1013.805438811442,1033.3746827166992,1016.416349113882,1011.063984934316,999.63219974352,1.2871316138365452,0.7121372087218304,30.127629524750745,0.3577408611108329,1.0,1.0,1.0
FT-218,945.1499525476456,945.200369387312,945.0988671251616,0.0260107210777758,1013.699714864276,1026.8376972364338,1016.5529087025468,1010.9159672784848,999.9756356944216,1.416637105738516,0.8783757468906805,32.61349291007594,0.3283588743984879,1.0,1.0,1.0
FT-175,844.0870342319306,844.1323782106103,844.0413754189648,0.024631739029111,962.9974510538884,978.5761512080348,965.591399884148,960.298923399465,948.8306583935764,1.3765320185913352,1.2426869093630586,58.991710983137104,0.3019595195006111,1.0,1.0,1.0
FT-102,1295.3371125063638,1295.4121806158155,1295.2703518474862,0.0390429682024521,1284.5115125888428,1294.5797058843823,1286.76247199753,1282.1484267015423,1273.3225453284513,1.1385088817335398,1.1894984901700334,72.42675542952584,0.29512317846228153,1.0,1.0,1.0
FT-020,842.5773942493681,842.624259465518,842.5350038070779,0.0247858919562459,963.3235892455184,994.1845837268208,966.0232942432688,960.7144273833812,947.501450842558,1.2969596479291814,0.5457316639479799,37.580211979340255,0.27648876047990334,1.0,1.0,1.0
FT-089,1233.2816716646137,1233.3544547572506,1233.2180624334412,0.0354944446073147,1299.4896330327,1318.851755163174,1301.5338470303554,1296.9599185364402,1284.7912920438337,1.2163430138721094,0.8668338484627768,52.398682541624254,0.2737500352741419,1.0,1.0,1.0
FT-237,1034.9881000850553,1035.0498298584166,1034.933521063501,0.0298679283561603,1455.4754033806444,1468.5007572174063,1457.4421390509146,1453.3524117623429,1442.3543914159118,0.996514613389124,2.002267347077611,78.95178511903782,0.27107084969603656,1.0,1.0,1.0
FT-201,1560.0025678909035,1560.0923396222902,1559.9118780120905,0.0482189961015412,1385.9591274494428,1395.7667957652686,1388.5420000753802,1383.4854303484206,1375.953470205332,1.22676144180058,7.929007489846515,82.18084299070486,0.26474719197739016,0.9629629629629629,0.9615384615384616,0.9615384615384616
FT-226,815.1931200400654,815.2369274905478,815.1512909790769,0.0235253767613145,1257.978548513949,1271.0305211315415,1260.1923474812538,1255.2972656249676,1246.223995783555,1.3002026551407582,1.6536517066014886,80.72567443667845,0.2563019531891509,1.0,1.0,1.0
FT-205,1559.5079808864853,1559.593122537758,1559.4291321157314,0.0434378052259568,1385.8104858293589,1396.1924584706642,1388.2480646536085,1383.251170625242,1375.8304738998434,1.2375875733611723,3.6329824026531385,62.64447082937738,0.2550797389496347,1.0,1.0,1.0
FT-056,1178.2689676482953,1178.3381296315554,1178.209676243099,0.0346187918603327,1244.9133772041282,1263.400026280825,1247.491725418386,1242.276386378739,1231.3467261131775,1.2773380949643511,0.8721834758766488,73.19969653342348,0.25207166100279277,1.0,1.0,1.0
FT-192,1068.7037715820934,1068.7709537862363,1068.644656968828,0.0326297049075302,1157.8147203461158,1163.3792711145747,1159.779912946269,1155.301746795193,1149.5256244435009,1.1713404979799975,3.4958930199198455,90.0365315895354,0.24938571123238934,1.0,1.0,1.0
FT-078,1077.205728818574,1077.2697492713137,1077.1507175425947,0.0315129711684634,1164.9081193819106,1176.015186999219,1167.311426224721,1162.4987461160683,1152.201798220714,1.193687829900949,1.1774213496615102,91.91704969072406,0.24349123315520071,1.0,1.0,1.0
FT-030,943.6407760815548,943.6939445363817,943.5907638447396,0.0278931269507372,1013.782160621757,1034.6732477987937,1016.3046768281488,1011.0867446353868,997.308114574802,1.3509453587603917,0.7894831960757004,37.57835341202724,0.234540983907471,1.0,1.0,1.0
FT-242,1083.0169631809986,1083.0848216619854,1082.950362254375,0.0368602131796223,1422.690822712629,1429.628389935163,1425.145367036958,1420.289303760063,1413.690671698993,1.3914501278972984,4.470507407977618,52.39055308965468,0.2320035224879733,0.8888888888888888,1.0,1.0
FT-200,1039.6606356714726,1039.7152117448236,1039.609987920612,0.0285971293977563,1386.5689310879638,1396.528175354006,1389.322205274966,1383.8648933908498,1377.2603266789347,1.358794537316638,4.296743303023578,73.93957456022,0.22943442834606856,1.0,1.0,1.0
FT-195,1077.708774786632,1077.7732844734803,1077.6548450786415,0.0305915600535078,1164.8240522057135,1175.084413340395,1166.9203041317107,1162.488701920126,1152.544404150735,1.1655651972698904,1.714567946138895,99.31005471009662,0.22668059039419147,1.0,1.0,1.0
